Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Company_website,Sustainability_report_link
AAPL,Apple Inc. Common Stock,$197.57 ,-0.54,-0.27%,3.07276E+12,United States,1980,128254586,Technology,Computer Manufacturing,,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2023.pdf
JNJ,Johnson & Johnson Common Stock,$155.16 ,-1.71,-1.09%,3.73513E+11,United States,,21712481,Health Care,Biotechnology: Pharmaceutical Preparations,,https://healthforhumanityreport.jnj.com/2022/_assets/downloads/johnson-johnson-2022-health-for-humanity-report.pdf
PG,Procter & Gamble Company (The) Common Stock,$143.96 ,-0.7,-0.48%,3.39297E+11,United States,,14549656,Consumer Discretionary,Package Goods/Cosmetics,,https://downloads.ctfassets.net/oggad6svuzkv/6EZI43XPtL7w5kDKhmBZFS/c1d5eeaf260cb9335943b7ba4061537d/citizenship_report_2020_full_FINAL_updated.pdf
BAC,Bank of America Corporation Common Stock,$33.60 ,-0.34,-1.00%,2.65901E+11,United States,,83732051,Finance,Major Banks,,https://about.bankofamerica.com/content/dam/about/report-center/esg/2023/2023_TCFD_Report.pdf
KO,Coca-Cola Company (The) Common Stock,$58.60 ,-0.44,-0.75%,2.53352E+11,United States,,65172256,Consumer Staples,Beverages (Production/Distribution),,https://www.coca-colacompany.com/content/dam/company/us/en/reports/coca-cola-business-sustainability-report-2022.pdf
BIDU,Baidu Inc. ADS,$114.12 ,1.21,1.07%,39893290617,China,2005,2306070,Technology,Computer Software: Programming Data Processing,,https://esg.baidu.com/ESG/Baidu_2022_ESG_Report.pdf
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$74.51 ,2,2.76%,1.91174E+11,China,2014,31264514,Consumer Discretionary,Catalog/Specialty Distribution,,https://data.alibabagroup.com/ecms-files/1509739361/fcaefa3d-0989-48fb-b003-fa96aa04880e/2023%20Alibaba%20ESG%20Report-Final.pdf
